EpRewMean,EpThisIter,EpLenMean,loss_pol_entpen,loss_kl,ev_tdlam_before,EpisodesSoFar,TimeElapsed,loss_ent,loss_pol_surr,loss_vf_loss,TimestepsSoFar
0.55,6,706.6,0.0,0.010056062,0.8457632660865784,1099,892.4459888935089,1.1689044,-0.026952729,0.024326742,720896
0.57,6,700.33,0.0,0.00932795,0.7436848282814026,1105,895.8917257785797,1.1518424,-0.025926821,0.031314347,724992
0.53,7,705.88,0.0,0.00798081,0.805680975317955,1112,899.3771948814392,1.1892205,-0.027667494,0.026536766,729088
0.49,5,711.39,0.0,0.012584907,0.8245851844549179,1117,902.9076738357544,1.1910453,-0.026713844,0.031335797,733184
0.46,5,717.67,0.0,0.0096819345,0.8348796963691711,1122,906.366112947464,1.1890063,-0.027582308,0.025390556,737280
0.46,6,712.23,0.0,0.009912356,0.8147756010293961,1128,909.8782699108124,1.1848711,-0.028924486,0.023062581,741376
0.64,6,704.3,0.0,0.013730265,0.7776092290878296,1134,913.3813388347626,1.1811689,-0.027525026,0.03135981,745472
0.67,7,702.48,0.0,0.008880019,0.8421550691127777,1141,916.8903937339783,1.185368,-0.027904818,0.027944488,749568
0.53,5,701.23,0.0,0.009728152,0.8134322762489319,1146,920.4257237911224,1.1903235,-0.025271751,0.03189549,753664
0.44,6,707.58,0.0,0.013200096,0.7932435721158981,1152,923.9704778194427,1.1880075,-0.029091721,0.025145005,757760
0.37,5,708.3,0.0,0.009211926,0.78255495429039,1157,927.395617723465,1.1693665,-0.02728323,0.03186561,761856
0.29,7,697.26,0.0,0.009842703,0.8223952800035477,1164,930.8812227249146,1.1978768,-0.028106946,0.028798962,765952
0.27,6,709.36,0.0,0.01047263,0.7460284531116486,1170,934.2165188789368,1.199,-0.029755691,0.031988017,770048
0.3,5,703.5,0.0,0.011072165,0.8441155850887299,1175,937.7167727947235,1.2183288,-0.031266153,0.024282796,774144
0.35,6,701.52,0.0,0.009282178,0.811670333147049,1181,941.2228736877441,1.2110486,-0.029731514,0.028023735,778240
0.5,6,700.06,0.0,0.009519944,0.8244766145944595,1187,944.8351948261261,1.2220991,-0.026701234,0.026300872,782336
0.41,5,699.69,0.0,0.010607257,0.8284676969051361,1192,948.2914907932281,1.197963,-0.03031159,0.023218244,786432
0.36,6,705.97,0.0,0.009802837,0.8256313353776932,1198,951.7084059715271,1.202028,-0.027602844,0.027905226,790528
0.39,6,709.65,0.0,0.011979254,0.828870877623558,1204,955.2652847766876,1.2027743,-0.028171206,0.022818126,794624
0.27,5,710.52,0.0,0.008667959,0.8169095665216446,1209,958.6979856491089,1.1777463,-0.026619153,0.02322549,798720
0.17,7,705.74,0.0,0.009998588,0.7992263436317444,1216,1010.0366327762604,1.2005365,-0.027947713,0.027662152,802816
0.08,5,702.2,0.0,0.008696972,0.8299994021654129,1221,1013.5199286937714,1.1682693,-0.027561648,0.023303969,806912
0.19,6,703.68,0.0,0.009615349,0.7957762181758881,1227,1017.0888967514038,1.176943,-0.030496206,0.021290068,811008
